Node 1 Pos,Node 1 Neg,Node 2 Pos,Node 2 Neg,Node 3 Pos,Node 3 Neg,Node 4 Pos,Node 4 Neg,Node 5 Pos,Node 5 Neg,Node 6 Pos,Node 6 Neg,Node 7 Pos,Node 7 Neg,Node 8 Pos,Node 8 Neg,Node 9 Pos,Node 9 Neg,Node 10 Pos,Node 10 Neg,Node 11 Pos,Node 11 Neg,Node 12 Pos,Node 12 Neg,Node 13 Pos,Node 13 Neg,Node 14 Pos,Node 14 Neg,Node 15 Pos,Node 15 Neg,Node 16 Pos,Node 16 Neg,Node 17 Pos,Node 17 Neg,Node 18 Pos,Node 18 Neg,Node 19 Pos,Node 19 Neg,Node 20 Pos,Node 20 Neg,Node 21 Pos,Node 21 Neg,Node 22 Pos,Node 22 Neg,Node 23 Pos,Node 23 Neg,Node 24 Pos,Node 24 Neg,Node 25 Pos,Node 25 Neg,Node 26 Pos,Node 26 Neg,Node 27 Pos,Node 27 Neg,Node 28 Pos,Node 28 Neg,Node 29 Pos,Node 29 Neg,Node 30 Pos,Node 30 Neg,Node 31 Pos,Node 31 Neg,Node 32 Pos,Node 32 Neg,Node 33 Pos,Node 33 Neg,Node 34 Pos,Node 34 Neg,Node 35 Pos,Node 35 Neg,Node 36 Pos,Node 36 Neg,Node 37 Pos,Node 37 Neg,Node 38 Pos,Node 38 Neg,Node 39 Pos,Node 39 Neg,Node 40 Pos,Node 40 Neg,Node 41 Pos,Node 41 Neg,Node 42 Pos,Node 42 Neg,Node 43 Pos,Node 43 Neg,Node 44 Pos,Node 44 Neg,Node 45 Pos,Node 45 Neg,Node 46 Pos,Node 46 Neg,Node 47 Pos,Node 47 Neg,Node 48 Pos,Node 48 Neg,Node 49 Pos,Node 49 Neg,Node 50 Pos,Node 50 Neg,Node 51 Pos,Node 51 Neg,Node 52 Pos,Node 52 Neg,Node 53 Pos,Node 53 Neg,Node 54 Pos,Node 54 Neg,Node 55 Pos,Node 55 Neg,Node 56 Pos,Node 56 Neg,Node 57 Pos,Node 57 Neg,Node 58 Pos,Node 58 Neg,Node 59 Pos,Node 59 Neg,Node 60 Pos,Node 60 Neg,Node 61 Pos,Node 61 Neg,Node 62 Pos,Node 62 Neg,Node 63 Pos,Node 63 Neg,Node 64 Pos,Node 64 Neg,Node 65 Pos,Node 65 Neg,Node 66 Pos,Node 66 Neg,Node 67 Pos,Node 67 Neg,Node 68 Pos,Node 68 Neg,Node 69 Pos,Node 69 Neg,Node 70 Pos,Node 70 Neg,Node 71 Pos,Node 71 Neg,Node 72 Pos,Node 72 Neg,Node 73 Pos,Node 73 Neg,Node 74 Pos,Node 74 Neg,Node 75 Pos,Node 75 Neg,Node 76 Pos,Node 76 Neg,Node 77 Pos,Node 77 Neg,Node 78 Pos,Node 78 Neg,Node 79 Pos,Node 79 Neg,Node 80 Pos,Node 80 Neg,Node 81 Pos,Node 81 Neg,Node 82 Pos,Node 82 Neg,Node 83 Pos,Node 83 Neg,Node 84 Pos,Node 84 Neg,Node 85 Pos,Node 85 Neg,Node 86 Pos,Node 86 Neg,Node 87 Pos,Node 87 Neg,Node 88 Pos,Node 88 Neg,Node 89 Pos,Node 89 Neg,Node 90 Pos,Node 90 Neg,Node 91 Pos,Node 91 Neg,Node 92 Pos,Node 92 Neg,Node 93 Pos,Node 93 Neg,Node 94 Pos,Node 94 Neg,Node 95 Pos,Node 95 Neg,Node 96 Pos,Node 96 Neg,Node 97 Pos,Node 97 Neg,Node 98 Pos,Node 98 Neg,Node 99 Pos,Node 99 Neg,Node 100 Pos,Node 100 Neg,Node 101 Pos,Node 101 Neg,Node 102 Pos,Node 102 Neg,Node 103 Pos,Node 103 Neg,Node 104 Pos,Node 104 Neg,Node 105 Pos,Node 105 Neg,Node 106 Pos,Node 106 Neg,Node 107 Pos,Node 107 Neg,Node 108 Pos,Node 108 Neg,Node 109 Pos,Node 109 Neg,Node 110 Pos,Node 110 Neg,Node 111 Pos,Node 111 Neg,Node 112 Pos,Node 112 Neg,Node 113 Pos,Node 113 Neg,Node 114 Pos,Node 114 Neg,Node 115 Pos,Node 115 Neg,Node 116 Pos,Node 116 Neg,Node 117 Pos,Node 117 Neg,Node 118 Pos,Node 118 Neg,Node 119 Pos,Node 119 Neg,Node 120 Pos,Node 120 Neg,Node 121 Pos,Node 121 Neg,Node 122 Pos,Node 122 Neg,Node 123 Pos,Node 123 Neg,Node 124 Pos,Node 124 Neg,Node 125 Pos,Node 125 Neg,Node 126 Pos,Node 126 Neg,Node 127 Pos,Node 127 Neg,Node 128 Pos,Node 128 Neg,Node 129 Pos,Node 129 Neg,Node 130 Pos,Node 130 Neg,Node 131 Pos,Node 131 Neg,Node 132 Pos,Node 132 Neg,Node 133 Pos,Node 133 Neg,Node 134 Pos,Node 134 Neg,Node 135 Pos,Node 135 Neg,Node 136 Pos,Node 136 Neg,Node 137 Pos,Node 137 Neg,Node 138 Pos,Node 138 Neg,Node 139 Pos,Node 139 Neg,Node 140 Pos,Node 140 Neg,Node 141 Pos,Node 141 Neg,Node 142 Pos,Node 142 Neg,Node 143 Pos,Node 143 Neg,Node 144 Pos,Node 144 Neg,Node 145 Pos,Node 145 Neg,Node 146 Pos,Node 146 Neg,Node 147 Pos,Node 147 Neg,Node 148 Pos,Node 148 Neg,Node 149 Pos,Node 149 Neg,Node 150 Pos,Node 150 Neg,Node 151 Pos,Node 151 Neg,Node 152 Pos,Node 152 Neg,Node 153 Pos,Node 153 Neg,Node 154 Pos,Node 154 Neg,Node 155 Pos,Node 155 Neg,Node 156 Pos,Node 156 Neg,Node 157 Pos,Node 157 Neg,Node 158 Pos,Node 158 Neg,Node 159 Pos,Node 159 Neg,Node 160 Pos,Node 160 Neg,Node 161 Pos,Node 161 Neg,Node 162 Pos,Node 162 Neg,Node 163 Pos,Node 163 Neg,Node 164 Pos,Node 164 Neg,Node 165 Pos,Node 165 Neg,Node 166 Pos,Node 166 Neg,Node 167 Pos,Node 167 Neg,Node 168 Pos,Node 168 Neg,Node 169 Pos,Node 169 Neg,Node 170 Pos,Node 170 Neg,Node 171 Pos,Node 171 Neg,Node 172 Pos,Node 172 Neg,Node 173 Pos,Node 173 Neg,Node 174 Pos,Node 174 Neg,Node 175 Pos,Node 175 Neg,Node 176 Pos,Node 176 Neg,Node 177 Pos,Node 177 Neg,Node 178 Pos,Node 178 Neg,Node 179 Pos,Node 179 Neg,Node 180 Pos,Node 180 Neg,Node 181 Pos,Node 181 Neg,Node 182 Pos,Node 182 Neg,Node 183 Pos,Node 183 Neg,Node 184 Pos,Node 184 Neg,Node 185 Pos,Node 185 Neg,Node 186 Pos,Node 186 Neg,Node 187 Pos,Node 187 Neg,Node 188 Pos,Node 188 Neg,Node 189 Pos,Node 189 Neg,Node 190 Pos,Node 190 Neg,Node 191 Pos,Node 191 Neg,Node 192 Pos,Node 192 Neg,Node 193 Pos,Node 193 Neg,Node 194 Pos,Node 194 Neg,Node 195 Pos,Node 195 Neg,Node 196 Pos,Node 196 Neg,Node 197 Pos,Node 197 Neg,Node 198 Pos,Node 198 Neg,Node 199 Pos,Node 199 Neg,Node 200 Pos,Node 200 Neg,Node 201 Pos,Node 201 Neg,Node 202 Pos,Node 202 Neg,Node 203 Pos,Node 203 Neg,Node 204 Pos,Node 204 Neg,Node 205 Pos,Node 205 Neg,Node 206 Pos,Node 206 Neg,Node 207 Pos,Node 207 Neg,Node 208 Pos,Node 208 Neg,Node 209 Pos,Node 209 Neg,Node 210 Pos,Node 210 Neg,Node 211 Pos,Node 211 Neg,Node 212 Pos,Node 212 Neg,Node 213 Pos,Node 213 Neg,Node 214 Pos,Node 214 Neg,Node 215 Pos,Node 215 Neg,Node 216 Pos,Node 216 Neg,Node 217 Pos,Node 217 Neg,Node 218 Pos,Node 218 Neg,Node 219 Pos,Node 219 Neg,Node 220 Pos,Node 220 Neg,Node 221 Pos,Node 221 Neg,Node 222 Pos,Node 222 Neg,Node 223 Pos,Node 223 Neg,Node 224 Pos,Node 224 Neg,Node 225 Pos,Node 225 Neg,Node 226 Pos,Node 226 Neg,Node 227 Pos,Node 227 Neg,Node 228 Pos,Node 228 Neg,Node 229 Pos,Node 229 Neg,Node 230 Pos,Node 230 Neg,Node 231 Pos,Node 231 Neg,Node 232 Pos,Node 232 Neg,Node 233 Pos,Node 233 Neg,Node 234 Pos,Node 234 Neg,Node 235 Pos,Node 235 Neg,Node 236 Pos,Node 236 Neg,Node 237 Pos,Node 237 Neg,Node 238 Pos,Node 238 Neg,Node 239 Pos,Node 239 Neg,Node 240 Pos,Node 240 Neg,Node 241 Pos,Node 241 Neg,Node 242 Pos,Node 242 Neg,Node 243 Pos,Node 243 Neg,Node 244 Pos,Node 244 Neg,Node 245 Pos,Node 245 Neg,Node 246 Pos,Node 246 Neg,Node 247 Pos,Node 247 Neg,Node 248 Pos,Node 248 Neg,Node 249 Pos,Node 249 Neg,Node 250 Pos,Node 250 Neg,Node 251 Pos,Node 251 Neg,Node 252 Pos,Node 252 Neg,Node 253 Pos,Node 253 Neg,Node 254 Pos,Node 254 Neg,Node 255 Pos,Node 255 Neg,Node 256 Pos,Node 256 Neg,Node 257 Pos,Node 257 Neg,Node 258 Pos,Node 258 Neg,Node 259 Pos,Node 259 Neg,Node 260 Pos,Node 260 Neg,Node 261 Pos,Node 261 Neg,Node 262 Pos,Node 262 Neg,Node 263 Pos,Node 263 Neg,Node 264 Pos,Node 264 Neg,Node 265 Pos,Node 265 Neg,Node 266 Pos,Node 266 Neg,Node 267 Pos,Node 267 Neg,Node 268 Pos,Node 268 Neg,Node 269 Pos,Node 269 Neg,Node 270 Pos,Node 270 Neg,Node 271 Pos,Node 271 Neg,Node 272 Pos,Node 272 Neg,Node 273 Pos,Node 273 Neg,Node 274 Pos,Node 274 Neg,Node 275 Pos,Node 275 Neg,Node 276 Pos,Node 276 Neg,Node 277 Pos,Node 277 Neg,Node 278 Pos,Node 278 Neg,Node 279 Pos,Node 279 Neg,Node 280 Pos,Node 280 Neg,Node 281 Pos,Node 281 Neg,Node 282 Pos,Node 282 Neg,Node 283 Pos,Node 283 Neg,Node 284 Pos,Node 284 Neg,Node 285 Pos,Node 285 Neg,Node 286 Pos,Node 286 Neg,Node 287 Pos,Node 287 Neg,Node 288 Pos,Node 288 Neg,Node 289 Pos,Node 289 Neg,Node 290 Pos,Node 290 Neg,Node 291 Pos,Node 291 Neg,Node 292 Pos,Node 292 Neg,Node 293 Pos,Node 293 Neg,Node 294 Pos,Node 294 Neg,Node 295 Pos,Node 295 Neg,Node 296 Pos,Node 296 Neg,Node 297 Pos,Node 297 Neg,Node 298 Pos,Node 298 Neg,Node 299 Pos,Node 299 Neg,Node 300 Pos,Node 300 Neg
PA0456,PA1797,PA1471,fliC,PA2412,PA3575,PA2105,fliC,PA2372,PA1236,PA2372,mexE,PA3423,PA5062,popB,PA3189,glyA2,PA0716,PA4685,wbpA,PA2252,thiC,pchB,PA3446,glyA2,pchB,fhp,pcrH,PA3843,PA4685,pqsB,antC,PA0657,ureA,PA3600,tssC1,PA4638,ribE,PA0636,popB,PA2137,PA3662,thiC,oprH,bfiR,sdhD,PA3283,mexG,PA5506,flp,PA3187,popB,PA4889,clpP2,cioA,PA4348,gltP,PA3924,pilS,glyA2,phzB1,PA0485,groEL,PA3456,lldP,phzS,PA1673,cioB,mexE,oprD,PA3419,PA1123,efhP,pctC,mexF,PA3331,pqsE,PA4881,ygiW,PA2433,PA4348,PA4514,PA4141,arnB,antC,PA4134,PA0492,popB,lasA,cysD,PA0647,narI,PA1427,pilF,PA2459,folX,norB,PA1196,arcB,pchB,fepC,PA0563,nhaB,ygdP,PA3600,PA3690,PA4181,PA3785,PA4881,pcrH,cupE1,cysN,mucE,pchE,potA,PA0588,dadA,norB,popB,pchB,wbpA,PA4685,PA4773,PA0713,phoQ,hpd,PA1096,mgtA,PA4685,norB,pchB,PA1896,mexE,PA5535,PA1132,efhP,PA3444,hpd,alg8,pctC,PA5445,antB,atpG,PA5444,fimU,PA1096,PA3188,fecA,PA3188,norB,PA5535,PA3690,PA0633,norB,PA4576,PA1126,PA5446,pqsC,PA0665,PA4038,PA1142,PA4991,acsA,antC,gbcB,PA3189,antB,PA3181,PA0490,PA3793,PA3575,antC,PA1308,pqqB,PA0717,PA1655,arnB,ampDh3,rcpA,PA5530,fliC,pqsE,PA1109,PA1894,murE,PA2033,PA0911,PA0203,PA4469,pauB1,pchB,PA0724,lecA,PA5244,PA4774,glyA2,potB,PA0459,PA3446,PA5099,glyA2,PA4121,gcvP2,glpK,PA1592,PA0716,arnD,hpcD,PA0492,pcrH,antB,phzS,pqsB,mexE,rplW,olsA,mexE,PA3600,PA4202,fpvR,lldP,phzB1,gpuR,oprF,PA0567,oprH,lysP,PA0007,PA4365,aspA,PA4739,efhP,PA0099,aruC,PA1190,ureC,pqsC,PA5530,popB,PA0633,PA1021,pvdS,aroP2,PA4773,PA0715,PA2406,PA0981,PA3285,quiP,minC,PA2955,betI,glyA2,pyrQ,PA0325,pvdD,PA0246,ptsN,pqsB,hmgA,PA2814,hmgA,ada,PA4463,PA5446,PA0716,PA4469,oprH,antB,metE,arnB,PA3189,lpdV,lldP,ppiC2,PA4188,pchD,narK1,PA4881,pcrH,pctB,efhP,hisF2,PA1420,dctA,pqsE,efhP,popB,efhP,PA0622,PA1356,PA3432,gbcA,PA1864,PA2104,tle5,mexG,dctA,wapB,pslB,hmgA,metE,PA0717,PA2811,bapF,PA5062,pchB,algD,modA,pchB,PA0170,dhcB,glpT,thiC,exoS,mexE,PA1123,PA3188,PA2111,PA1095,PA3785,PA5507,PA3399,PA4473,wapB,PA1471,PA0842,PA2462,cyoA,braD,gcvH2,pqsC,PA0633,pqsB,tsi6,PA0621,PA4060,amiC,PA3331,moeA1,mucE,PA0716,oprC,PA1297,pqsC,PA4685,PA0627,PA0492,glpF,PA5535,wapB,exoS,rpsG,PA1870,tssC1,phuR,PA3281,PA3536,glpD,ldhA,PA3015,rpsO,PA1390,PA2462,gcvH2,antC,exaA,fliC,metE,mexF,plsX,cupE1,PA0127,PA4426,PA1471,PA0754,PA3843,PA3234,wapB,exoS,rhlI,mexY,PA3189,soxD,pcrH,PA2146,dctA,PA2116,PA0979,PA2372,plcH,antB,trmD,mexG,phzD2,lldP,cyoA,pqsB,exoS,glpK,PA2609,oprE,arnB,popB,speD,wbpA,PA4134,PA2401,PA4685,pchD,pvdF,PA0839,PA2102,PA4476,PA0627,hutH,arcA,PA4139,PA5506,PA0716,dctA,betX,hpd,arnC,efhP,rsaL,PA2110,pqsB,siaA,PA0842,PA4908,cyoA,antB,fhp,bfd,PA2031,PA0979,PA0823,hmgA,dctA,plcR,lecA,phzB1,nosL,antB,glpK,PA0614,pqsC,pchB,metE,PA2412,PA2010,PA2188,norB,mexF,PA4220,tssC1,oprH,PA3577,aspA,pvdA,PA4773,PA0717,PA3085,mexF,PA1864,PA2763,PA2726,PA4500,ahpB,sodM,pcaF,PA5445,PA1970,metE,PA4773,oprI,PA4638,PA3233,PA0308,PA1023,rsaL,exoT,cdrB,antB,PA3922,PA4189,ppiC2,PA3470,PA2461,ddlA,glyA2,fklB,sdhD,PA3764,PA3512,mexG,PA0715,arnB,phzF2,PA4139,ppgL,cysD,hcp1,cyoA,PA3575,PA2114,lldD,PA5486,pqsB,pqsB,norB,PA4739,fhp,PA3734,wbpH,PA0459,PA5445,metE,PA2412,PA3080,amiA,exaB,PA0632,fpvI,oprH,PA5504,phzA1,siaA,PA1324,algD,PA2462,PA4074,PA1308,rsaL,PA1021,phzB1,PA3283,antB,PA3188,arnF,PA1864,PA4739,glyA2,PA2112,PA1541,PA1574,kdpC,mexF,PA0526,fhp,phzS,PA0642,PA4773,mexF,PA3189,PA2158,PA3189,fpvA,fhp,PA2112,PA5535,PA5481,phzS,cdrA,antB,PA2461,lldP,PA2114,pchE,glpF,norB,PA5283,PA1145,tssB1,antC,aspA,PA3854,PA3923,PA2112,PA2262,PA0170,PA2068,rsaL,PA2105,PA1096,glpD,narH,gcvH2,efhP,PA2459,PA0633,PA3519,PA5303,glyA2,pqsC,clpP2,fhp,exbB1,fhp
acpP,PA3432,PA0258,PA0820,pvdA,,PA2101,PA3752,PA2456,PA2835,dctA,mexF,PA1612,grxD,pcrH,PA0716,PA4881,PA2224,PA0979,hisF2,glpT,PA3189,pchD,PA3450,glyA1,pchD,ppyR,popB,popB,PA0170,pqsC,antB,gcbA,aspA,PA3601,vgrG1,PA4753,oprI,PA0633,pcrH,PA2751,fecA,PA1864,PA2252,PA0553,rpmC,PA3284,flp,pauA7,PA0587,PA3189,pcrH,bioD,PA3330,cioB,PA1673,cdsA,lipH,PA1040,PA1418,PA3330,PA4881,PA3262,waaL,aceA,phzB1,PA4348,cioA,PA3229,antC,PA2045,hcpC,PA4103,pchD,PA3229,fabH2,phnA,PA3229,metE,PA1828,ccoN2,cioA,PA1869,arnA,antB,PA4131,glpD,pcrH,cupE1,cysN,PA0617,narG,PA4989,murE,PA0715,PA5250,norC,PA0128,arcD,pchD,PA3498,PA5533,imm2,exsE,PA5535,PA3187,PA0981,mreD,PA3229,pcr3,PA0384,cysD,bfrB,pchD,PA1132,rmf,PA1559,norC,pcrH,pchE,wbpE,PA0979,PA4774,lecB,PA2252,PA4881,phzS,lldP,arcD,norC,pchD,opdO,mexF,dksA2,PA3722,PA0062,PA3937,phhA,algK,efhP,PA3233,antC,mltD,PA5104,waaL,PA1095,PA3187,hmgA,PA3189,fhp,dksA2,antC,PA0644,norC,PA3647,PA4166,PA4712,pqsA,PA4139,PA1230,spuA,rhl,PA3235,antB,betX,PA3187,antA,pgl,PA3208,PA3224,nuoN,antB,PA4984,PA3038,PA4603,uvrA,PA4773,PA0277,flp,pauA7,PA1095,pqsB,PA4357,PA4335,mraY,phoP,PA0632,pchD,PA4471,pcaF,PA4471,coaB,fliC,PA4389,PA4773,efhP,potA,PA3723,PA3444,fhp,glpT,hpcC,glyA1,glpD,oprI,PA2459,arnE,PA4121,fhp,popB,antC,phzM,pqsC,mexF,rpsC,fdnI,mexF,PA3601,ppgL,PA2453,lldD,PA3922,PA1388,rpsQ,PA2146,phoP,chtA,phzA1,PA1970,PA0431,PA4738,PA3235,PA0648,PA4060,mdlC,PA0442,pqsB,PA1023,pcrH,PA0637,phzS,PA2393,pslG,PA4774,orfX,PA5250,PA2794,PA2045,PA3315,PA2044,PA2101,sbcD,amiC,PA4834,PA4680,PA2401,PA4162,PA4465,pqsC,PA2759,cca,hpd,PA4144,oprF,ureA,PA0715,PA2412,antB,antC,PA3432,arnC,PA3187,bkdA1,glpD,hpcC,PA4189,PA2405,narK2,PA3229,popD,PA2652,PA4103,PA0729,PA0492,PA5530,PA3187,PA4103,pcrH,bfmS,hpd,fliC,liuE,betX,ambD,PA2105,PA0535,mexH,PA3229,PA4500,pslD,PA2553,lldP,PA0718,PA4692,PA1397,glnE,fptA,fhp,PA2459,pchD,siaD,PA1745,glpF,PA3444,dctA,mexF,PA5482,PA3189,opdO,fliC,oprH,narG,PA4849,PA0404,fpvA,PA0258,pstS,PA0125,cyoC,PA0442,glyA2,pqsB,PA0621,pqsC,PA2779,PA0627,PA4772,amiE,PA2828,PA4983,PA1574,eraS,rhl,PA1298,pqsB,norB,PA0647,fliC,PA5303,PA4834,PA0621,efhP,rplW,PA2184,hcp1,efhP,PA3403,PA0419,PA1612,dgt,lepA,rpmH,PA1382,PA1240,glyA2,antB,exaB,PA1471,ahpF,PA3229,roxS,PA1874,PA2947,mvaU,norB,betX,exoT,PA3235,PA3904,PA1471,PA3904,PA1559,PA3188,gbcA,popB,PA0558,dnaJ,hsiH2,PA4739,PA4471,waaL,oprH,rpsT,phzS,lecA,PA1559,cyoC,PA4133,popB,glpF,PA4787,PA5437,PA4773,pcrH,PA3276,wzz,PA2679,pvdA,glyA2,pchB,PA4139,hpd,PA0099,PA2074,PA0626,liuD,arcB,pqsB,narI,PA3600,PA2204,gbcA,cyoC,arnF,PA4103,PA0647,thiC,pqsC,PA0644,pvdA,PA4909,PA5445,antC,PA0572,PA4139,pcrG,tli1,PA2105,fahA,PA5445,PA4881,cdrA,PA4834,PA0716,antA,PA3188,PA0616,pqsB,mexE,pvdE,pvdA,hmgA,PA1870,norC,PA4881,kdpB,hcp1,arnB,PA1629,PA3094,pvdH,PA4774,PA3249,PA5457,mexE,cyoC,PA1945,PA1530,ercS,typA,PA3348,fecA,norC,PA4881,exaC,arnC,PA1592,atpC,PA2679,PA1840,PA1021,PA0986,PA3843,pchF,antC,PA3923,PA4188,PA4135,ureB,PA2459,PA4202,PA2453,PA0188,pyoS5,PA2418,PA0204,mexI,PA2223,phoP,phzG2,cmpX,PA0191,PA0284,tssG1,PA2384,modA,PA2112,lldP,PA4685,pqsD,pqsC,norC,PA0588,PA3450,fliC,wbpG,flp,PA3894,PA3752,pvdA,PA3519,PA5535,antB,PA0637,PA4134,liuE,hitA,lasA,potD,PA1323,alg8,gcvH2,PA0207,PA0734,glyA2,PA4773,phzF2,PA3284,exsE,PA3189,PA3559,lldP,PA5482,dctQ,PA4685,PA1517,PA0754,PA5537,mexE,norB,motY,pqsB,PA0647,PA3559,mexE,PA3187,PA2134,PA1856,PA2412,norC,PA2111,PA3600,antB,PA1123,PA3190,antC,PA0715,lldD,PA2111,pchB,glpK,norC,PA1309,agtR,hcp1,antB,ampE,PA2713,lipA,PA2110,cyoD,hpd,PA1559,pqsB,PA2101,fliC,PA3334,narK1,glyA1,liuE,PA4739,PA0632,PA2807,PA2116,PA5530,pqsA,PA3334,pchE,PA0193,PA4060
rpmJ,PA0977,PA2772,PA1095,PA2411,,PA0100,wbpA,PA1372,PA0273,PA1548,nqrD,PA2819,PA0456,popD,PA3188,glyA1,PA2745,PA4139,pilA,glpD,PA3188,fptA,cysN,coaB,pchE,norB,acsA,pcrH,siaA,pqsD,antA,PA0207,exaC,PA4063,tssB1,aguR,azu,PA1592,pscR,PA2609,PA5136,PA4772,phoP,PA0207,rpsO,dctA,lecA,PA5507,rmf,PA3188,exsB,PA0502,PA3334,PA4685,ccoN2,PA3641,hutU,folX,PA3237,pqsB,mexE,PA1159,PA2026,PA3925,phzF2,ccoN2,,mexF,antB,PA2706,cdrA,PA4106,pchB,mexE,PA3330,pqsD,mexF,PA1396,radA,oprG,fahA,bfd,PA4773,antA,PA4132,glpF,pscE,pslB,PA0284,PA0616,narJ,PA3896,hscB,PA2046,mucE,nosZ,PA0731,rfaD,fptA,PA1945,PA5152,PA0809,PA2707,dksA2,PA4122,PA4364,PA0370,mexE,exoT,PA3568,cysW,PA0148,pchB,PA0386,PA0587,PA4773,PA0525,popD,pchD,wbpJ,PA0986,PA5174,lecA,glpF,hmgA,PA1574,PA4823,PA2482,nosZ,fptA,PA2112,oprN,amiA,pctB,PA4103,PA3446,dhcB,algD,PA3662,PA3235,arnB,sdhD,triC,pilW,fliC,PA3189,hsiB2,PA3187,norC,PA4836,PA3920,PA0632,fhp,murC,armR,PA0310,pqsB,PA4685,PA0215,PA4166,PA5071,PA5445,antA,gbcA,PA3188,antC,edd,rpmF,PA0388,PA1507,antA,ampE,aspA,PA0477,pncB2,arnA,ohrR,cupE1,PA2911,PA5435,pqsC,dctA,exaC,murD,hasAp,PA0644,pchB,fumC1,olsA,PA4469,PA0726,ldh,PA5530,PA3559,kdpC,potC,PA0713,PA3938,PA5106,lldP,hpcD,gcvH2,glpF,azu,PA3771,arnC,hpcC,PA0493,exoT,antA,PA3577,phnA,PA4514,sdhD,fdnH,PA3229,PA4837,rimK,PA2462,PA4772,PA3923,fapA,rpmJ,PA5481,phoQ,tyrZ,phzG2,fpvI,lldP,PA2747,acsA,PA2102,lecB,PA3260,rpmC,pqsA,PA1021,popD,PA0638,PA2536,pvdA,exaC,arnA,dotU2,PA1542,PA0979,PA1053,PA2947,pheC,PA0060,PA0731,tpm,PA5540,pchB,PA2101,PA4805,PA5153,phnA,PA0442,PA3503,PA2182,PA3774,PA1592,PA1592,PA0442,fumC1,glyA2,antA,arcD,arnA,PA3188,bkdB,glpK,PA4135,PA1560,pchB,PA5535,mexF,popB,motY,PA4106,wbpH,PA0494,glpD,pqsB,PA4106,popD,PA3119,PA0616,PA0982,PA3431,soxD,PA1897,PA2102,PA1096,rmf,mexE,PA3577,pslC,PA2554,braZ,coaB,PA4643,estX,PA0454,PA4220,algG,PA1864,pchE,siaA,PA5106,PA5506,PA4134,lldP,PA4881,PA1797,edd,PA0188,PA1096,PA3712,PA0492,PA0419,mvaT,PA0986,PA0644,PA3379,PA1115,cyoD,braE,gcvP2,pqsE,fliC,pqsE,PA3728,PA0626,lldD,PA3330,folX,gcvT2,PA5180,pqqH,mltD,fhp,pqsA,bfd,PA0632,dctA,glpD,PA4836,PA0648,PA2779,fusA1,katN,tssB1,aroP1,PA3283,PA3317,oprH,PA0368,PA4548,PA1465,PA1389,PA1241,PA3432,antA,eraS,PA0979,iscA,mexE,PA1478,PA1876,PA1128,trpD,PA0515,PA2372,exoS,PA3330,dctA,pslB,PA3906,mexX,PA3187,fdhA,pcrV,PA3568,asrA,PA2114,plcR,phuR,fimU,antC,rpsU,PA3734,phzF2,PA5440,cyoB,pqsA,PA3843,PA1559,fpvI,PA5568,arnC,pscE,PA4644,PA3142,rhlI,fpvA,pauB1,pchE,glyA2,PA0391,PA2106,PA1236,PA0620,PA2552,arcD,pqsC,cobQ,betX,cysD,soxD,hmgA,arnB,PA4106,PA0648,PA2111,pqsD,PA0170,metE,PA0391,acsA,antA,PA0144,nuoJ,PA3716,PA2060,PA2045,hpd,PA4103,PA3514,PA2331,PA4064,PA0721,catC,glpF,PA0618,pqsE,pchE,PA0621,PA2405,PA4202,PA2166,PA1864,mexE,kdpC,tssE1,phoP,roeA,liuE,PA2412,pmrB,coaB,PA4686,PA4881,dctA,PA2102,PA5230,PA2166,ccoO2,PA4469,PA2116,PA3235,PA3229,phhA,arnB,groES,PA2026,PA3379,hemL,PA1024,PA0987,pcrH,PA0442,antA,magF,arnD,hpcD,PA3962,PA0715,pchE,pvdS,PA1190,nrdA,PA2636,PA0203,mexH,dctQ,PA4782,phzS,orfX,PA0062,PA3450,tssE1,cyoB,PA0731,PA2116,PA3432,PA3320,modA,pqsA,nosZ,PA5482,metE,PA1047,hisH2,PA0175,PA1854,PA1743,PA2405,PA3922,PA3600,antC,PA0636,PA4182,betI,PA3284,chiC,siaD,PA0062,algG,glyA2,PA4949,PA4881,PA3189,PA1559,phzD2,mexF,antC,PA3187,PA4774,pchD,PA5481,PA2459,PA2110,PA1540,ureB,PA1420,PA4881,fumC1,PA0525,phzB1,PA0644,arnB,oprN,PA3188,PA2172,PA0716,pvdA,norB,PA3519,PA4836,PA5482,ccpR,glpF,hutU,hmgA,antB,opdO,PA4220,dctA,nosZ,PA1991,PA3047,tssC1,antA,PA3778,PA2843,PA3922,PA2114,PA1127,PA4881,cdrA,hpd,PA2102,fliD,glpK,narI,glyA2,PA2917,PA0715,PA0638,gltR,cyoB,gcvP2,pqsB,PA3332,pchF,PA2296,gcvH2
